 Time(seconds) , Bytes Sent

 10240, 0.047000
 10240, 0.060000
 10240, 0.060000
 10240, 0.058000
 10240, 0.050000
 40960, 0.046000
 40960, 0.050000
 40960, 0.058000
 204800, 0.077000
 204800, 0.072000
 204800, 0.071000
 204800, 0.079000
 204800, 0.109000
 204800, 0.110000
 204800, 0.111000
 204800, 0.110000
 650000, 0.189000
 650000, 0.315000
 650000, 0.216000
 650000, 0.183000
 650000, 0.194000
 102400, 0.071000
 102400, 0.058000
 102400, 0.050000
 102400, 0.056000
 102400, 0.061000
 102400, 0.051000
 409600, 0.171000
 409600, 0.127000
 409600, 0.189000
 409600, 0.174000
 409600, 0.145000
 409600, 0.128000
 409600, 0.154000
 409600, 0.139000
 409600, 0.133000
 2048000, 1.082000
 2048000, 0.599000
 2048000, 0.692000
 2048000, 0.632000
 2048000, 0.638000
 2048000, 0.618000
 2048000, 0.555000
 6500000, 1.848000
 6500000, 1.919000
 6500000, 1.969000
 6500000, 1.778000
 6500000, 2.049000
 6500000, 2.077000
 6500000, 1.697000
 6500000, 1.678000
 10240, 0.000000
 10240, 0.000000
 10240, 0.015000
 10240, 0.000000
 10240, 0.000000
 10240, 0.188000
 10240, 0.188000
 10240, 0.172000
 10240, 0.171000
 10240, 0.203000
 10240, 0.207000
 10240, 0.172000
 10240, 0.187000
 10240, 0.187000
 10240, 0.187000
 204800, 0.188000
 204800, 0.188000
 204800, 0.188000
 204800, 0.187000
 204800, 0.221000
 204800, 0.213000
 204800, 0.223000
 204800, 0.211000
 204800, 0.210000
 204800, 0.204000
 204800, 0.212000
 204800, 0.223000
